Agent Name,Agent Id,Product,AI Feature/Billable Feature,Billed credit,Non-billed credit,Channel,Knowledge Sources,Tool Used,LLM Model,Scenario Name,Environment Id,Environment Name
Provider Directory Bot,b1b8249c-efd3-47a3-5137-cd6e461c3733,Copilot Studio,Classic answer,622,368,Web,SharePoint,Power Automate,GPT-5.4,,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live
Provider Directory Bot,b1b8249c-efd3-47a3-5137-cd6e461c3733,Copilot Studio,Classic answer,134,33,Web,Dataverse,,GPT-5.4,,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation
Provider Directory Bot,b1b8249c-efd3-47a3-5137-cd6e461c3733,Copilot Studio,Classic answer,215,171,Teams,SharePoint,Power Automate,GPT-5.4,,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant
Provider Directory Bot,b1b8249c-efd3-47a3-5137-cd6e461c3733,Copilot Studio,Classic answer,71,37,M365 Copilot,Dataverse,,,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test
Benefits Explainer,739bd5c9-e26c-79ba-e0ef-86a0668dcd04,Copilot Studio,Generative answer,504,531,M365 Copilot,Dataverse,Power Automate,GPT-5.6 Sol,,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence
Benefits Explainer,739bd5c9-e26c-79ba-e0ef-86a0668dcd04,Copilot Studio,Generative answer,708,458,Web,Dataverse,Power Automate,,,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live
Benefits Explainer,739bd5c9-e26c-79ba-e0ef-86a0668dcd04,Copilot Studio,Generative answer,112,30,M365 Copilot,Dataverse,,GPT-5.6 Sol,,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation
Benefits Explainer,739bd5c9-e26c-79ba-e0ef-86a0668dcd04,Copilot Studio,Generative answer,95,41,M365 Copilot,,Power Automate,,,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant
Benefits Explainer,739bd5c9-e26c-79ba-e0ef-86a0668dcd04,Copilot Studio,Generative answer,105,47,M365 Copilot,Dataverse,Power Automate,GPT-5.4,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test
Onboarding Buddy,c93c10b9-68b2-0c70-16b4-8839f59bb1c2,Copilot Studio,Classic answer,761,761,M365 Copilot,,Power Automate,,,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence
Onboarding Buddy,c93c10b9-68b2-0c70-16b4-8839f59bb1c2,Copilot Studio,Classic answer,528,413,Teams,SharePoint,Power Automate,GPT-5.4,,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live
Onboarding Buddy,c93c10b9-68b2-0c70-16b4-8839f59bb1c2,Copilot Studio,Classic answer,411,191,M365 Copilot,Dataverse,,GPT-5.6 Sol,,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation
Onboarding Buddy,c93c10b9-68b2-0c70-16b4-8839f59bb1c2,Copilot Studio,Classic answer,40,37,Web,Dataverse,,GPT-5.4,,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant
Onboarding Buddy,c93c10b9-68b2-0c70-16b4-8839f59bb1c2,Copilot Studio,Classic answer,176,189,Teams,SharePoint,Power Automate,GPT-5.4,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test
