BillingPlan Id,BillingPlan Name,Environment Id,Environment Name,Capacity Type,Entitled Quantity,Prepaid Consumed Quantity,Pay as you go Consumed Quantity,Usage Date
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,146,0,5/4/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,150,37,5/4/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,12,5/4/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,43,5/4/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,62,0,5/4/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,100,6,5/4/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,58,5/4/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,388,0,5/5/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,208,0,5/5/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,201,0,5/5/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,68,0,5/5/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,37,5/5/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,24,5/5/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,67,65,5/5/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,100,78,5/5/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,25,5/5/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,381,0,5/6/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,209,0,5/6/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,150,0,5/6/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,150,93,5/6/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,13,5/6/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,14,5/6/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,13,0,5/6/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,100,102,5/6/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,57,5/6/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,71,0,5/7/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,300,96,5/7/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,114,0,5/7/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,68,0,5/7/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,32,5/7/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,24,5/7/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,67,84,5/7/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,100,93,5/7/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,43,5/7/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,130,0,5/8/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,137,0,5/8/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,112,0,5/8/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,81,0,5/8/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,68,5/8/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,84,5/8/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,67,46,5/8/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,34,0,5/8/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,25,5/8/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,14,0,5/9/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,6,0,5/9/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,26,0,5/9/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,5,0,5/9/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,3,5/9/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,10,5/9/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,4,0,5/9/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,12,0,5/9/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,5,5/9/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,19,0,5/10/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,28,0,5/10/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,4,0,5/10/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,3,0,5/10/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,2,5/10/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,11,5/10/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,8,0,5/10/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,13,0,5/10/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,3,5/10/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,400,133,5/11/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,97,0,5/11/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,102,0,5/11/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,150,85,5/11/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,92,5/11/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,9,5/11/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,67,19,5/11/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,39,0,5/11/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,66,5/11/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,400,31,5/12/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,300,151,5/12/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,233,95,5/12/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,150,78,5/12/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,94,5/12/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,28,5/12/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,67,58,5/12/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,100,49,5/12/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,53,5/12/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,384,0,5/13/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,300,54,5/13/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,233,42,5/13/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,90,0,5/13/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,67,5/13/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,63,5/13/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,67,67,5/13/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,52,0,5/13/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,22,5/13/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,95,0,5/14/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,49,0,5/14/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,231,0,5/14/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,96,0,5/14/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,85,5/14/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,96,5/14/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,67,35,5/14/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,100,115,5/14/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,43,5/14/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,377,0,5/15/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,245,0,5/15/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,233,104,5/15/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,150,83,5/15/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,90,5/15/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,61,5/15/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,52,0,5/15/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,100,60,5/15/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,22,5/15/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,54,0,5/16/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,15,0,5/16/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,23,0,5/16/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,29,0,5/16/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,8,5/16/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,3,5/16/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,4,0,5/16/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,11,0,5/16/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,7,5/16/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,19,0,5/17/2026 12:00:00 AM
f2e0767b-3746-7143-aee9-a25e4b0b395d,Contoso Health Capacity,13a55d62-a7f3-b2e7-6d8f-5b05a74e8821,Member Services Live,MCSMessages,9000,16,0,5/17/2026 12:00:00 AM
d643615f-7c3b-21a9-b9f3-76ce18c3da02,Contoso Health Capacity,f148bf2c-e3b1-9c7e-ad62-fb4831aeb13f,Claims Automation,MCSMessages,7000,36,0,5/17/2026 12:00:00 AM
99b90bea-4434-dae7-e4ec-49cf17e54d9d,Contoso Health Capacity,59a0f3c4-0dbc-05fa-3114-e0e4a9ed627b,Clinical Assistant,MCSMessages,4500,32,0,5/17/2026 12:00:00 AM
c253f352-ab34-12ba-de3c-9f6f7e16d29a,,7eb9044d-c52b-a2dc-fc18-2b3c39fbb388,Care Plan Test,MCSMessages,0,0,13,5/17/2026 12:00:00 AM
348b117c-9ac2-5cd0-d426-296c51796355,,d595a4e0-2781-3313-aa8d-6ed25942c5ea,Ask Contoso Test,MCSMessages,0,0,3,5/17/2026 12:00:00 AM
541bd8f3-a230-481b-565e-6438d5bd05fe,Contoso Health Capacity,5ee70314-9715-10be-03eb-0ece636ed411,Pharmacy Pilot,MCSMessages,2000,15,0,5/17/2026 12:00:00 AM
6271c993-f266-5c19-b29f-33f3afdef232,Contoso Health Capacity,4ea29527-aae9-2482-2849-9c9fc2f59b3b,Provider Portal,MCSMessages,3000,11,0,5/17/2026 12:00:00 AM
d1cc2c72-bdba-ebe8-20d4-a2ebe4895f87,,423e705c-b9ba-8bba-894c-2debf976f9f7,HR Helpdesk,MCSMessages,0,0,6,5/17/2026 12:00:00 AM
5a06f870-6ebc-f8e5-da4a-378af6e32655,Contoso Health Capacity,632f5262-ff7c-664f-b383-4a8f0b395fde,AI Centre of Excellence,MCSMessages,12000,391,0,5/18/2026 12:00:00 AM
