UsageDate,ServiceName,MeterCategory,Meter,ResourceId,ResourceName,ResourceGroup,Cost,UsageQuantity,Currency,DepartmentTag
2026-05-03,Foundry Models,Foundry Models,o4 mini outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,0.285444,0.064874,USD,Claims Processing
2026-05-03,Foundry Models,Foundry Models,o4 mini outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,contoso-foundry-analytics,rg-ai-analytics,0.148915,0.033844,USD,Data & Analytics
2026-05-04,Foundry Models,Foundry Models,5.4 cd inp Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.096309,0.875538,USD,Engineering
2026-05-04,Foundry Models,Foundry Models,5.4 inp Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,1.299748,1.181589,USD,Sales
2026-05-04,Foundry Models,Foundry Models,5.4 opt Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,2.369704,0.538569,USD,Engineering
2026-05-04,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,1.087707,0.543854,USD,Clinical Operations
2026-05-04,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,3.362538,1.681269,USD,Member Services
2026-05-04,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,contoso-foundry-dev,rg-ai-dev,1.230048,0.615024,USD,Engineering
2026-05-04,Foundry Models,Foundry Models,GPT 4.1 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,0.731295,0.091412,USD,Member Services
2026-05-04,Foundry Models,Foundry Models,GPT 4o outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,5.038418,0.503842,USD,Clinical Operations
2026-05-04,Foundry Models,Foundry Models,GPT 4o outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,contoso-foundry-dev,rg-ai-dev,2.888766,0.288877,USD,Engineering
2026-05-04,Foundry Models,Foundry Models,GPT 5 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,1.555889,1.244711,USD,Claims Processing
2026-05-04,Foundry Models,Foundry Models,GPT 5 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,contoso-foundry-analytics,rg-ai-analytics,0.743358,0.594686,USD,Data & Analytics
2026-05-04,Foundry Models,Foundry Models,GPT 5 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.855705,0.085571,USD,Clinical Operations
2026-05-04,Foundry Models,Foundry Models,GPT 5 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,6.687432,0.668743,USD,Claims Processing
2026-05-04,Foundry Models,Foundry Models,o4 mini Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,0.913582,0.830529,USD,Claims Processing
2026-05-04,Foundry Models,Foundry Models,o4 mini outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,3.158888,0.717929,USD,Clinical Operations
2026-05-04,Foundry Models,Foundry Models,o4 mini outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,3.372509,0.766479,USD,Claims Processing
2026-05-04,Foundry Models,Foundry Models,o4 mini outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,contoso-foundry-analytics,rg-ai-analytics,0.275494,0.062612,USD,Data & Analytics
2026-05-05,Foundry Models,Foundry Models,5.4 cd inp Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.205563,1.868757,USD,Engineering
2026-05-05,Foundry Models,Foundry Models,5.4 inp Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.561035,0.510032,USD,Finance
2026-05-05,Foundry Models,Foundry Models,5.4 opt Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,2.695898,0.612704,USD,Sales
2026-05-05,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,2.817636,1.408818,USD,Claims Processing
2026-05-05,Foundry Models,Foundry Models,GPT 4.1 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,2.001490,0.250186,USD,Clinical Operations
2026-05-05,Foundry Models,Foundry Models,GPT 4o Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,5.790087,2.316035,USD,Clinical Operations
2026-05-05,Foundry Models,Foundry Models,GPT 4o Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,1.242967,0.497187,USD,Claims Processing
2026-05-05,Foundry Models,Foundry Models,GPT 4o Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,1.398529,0.559412,USD,Member Services
2026-05-05,Foundry Models,Foundry Models,GPT 4o Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,contoso-foundry-dev,rg-ai-dev,0.932490,0.372996,USD,Engineering
2026-05-05,Foundry Models,Foundry Models,GPT 4o outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,10.835058,1.083506,USD,Clinical Operations
2026-05-05,Foundry Models,Foundry Models,GPT 4o outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,4.338487,0.433849,USD,Member Services
2026-05-05,Foundry Models,Foundry Models,GPT 5 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,1.322191,1.057753,USD,Member Services
2026-05-05,Foundry Models,Foundry Models,GPT 5 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,2.377722,0.237772,USD,Member Services
2026-05-05,Foundry Models,Foundry Models,o4 mini Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,2.272246,2.065678,USD,Clinical Operations
2026-05-05,Foundry Models,Foundry Models,o4 mini Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,0.853286,0.775715,USD,Claims Processing
2026-05-05,Foundry Models,Foundry Models,o4 mini Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,0.443514,0.403194,USD,Member Services
2026-05-05,Foundry Models,Foundry Models,o4 mini outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,4.988528,1.133756,USD,Clinical Operations
2026-05-05,Foundry Models,Foundry Models,o4 mini outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,0.541088,0.122974,USD,Member Services
2026-05-05,Foundry Models,Foundry Models,o4 mini outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,contoso-foundry-dev,rg-ai-dev,0.964842,0.219282,USD,Engineering
2026-05-06,Foundry Models,Foundry Models,5.4 cd inp Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.158596,1.441784,USD,Engineering
2026-05-06,Foundry Models,Foundry Models,5.4 inp Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,1.273676,1.157887,USD,Legal
2026-05-06,Foundry Models,Foundry Models,5.4 opt Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,2.737535,0.622167,USD,Clinical Operations
2026-05-06,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.741983,0.370991,USD,Clinical Operations
2026-05-06,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,2.231858,1.115929,USD,Member Services
2026-05-06,Foundry Models,Foundry Models,GPT 4.1 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,7.365729,0.920716,USD,Clinical Operations
2026-05-06,Foundry Models,Foundry Models,GPT 4.1 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,contoso-foundry-dev,rg-ai-dev,0.820205,0.102526,USD,Engineering
2026-05-06,Foundry Models,Foundry Models,GPT 4o Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,5.573870,2.229548,USD,Clinical Operations
2026-05-06,Foundry Models,Foundry Models,GPT 4o Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,5.104670,2.041868,USD,Claims Processing
2026-05-06,Foundry Models,Foundry Models,GPT 4o Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,contoso-foundry-analytics,rg-ai-analytics,1.214366,0.485746,USD,Data & Analytics
2026-05-06,Foundry Models,Foundry Models,GPT 4o outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,1.232072,0.123207,USD,Member Services
2026-05-06,Foundry Models,Foundry Models,GPT 4o outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-analytics/providers/microsoft.cognitiveservices/accounts/contoso-foundry-analytics,contoso-foundry-analytics,rg-ai-analytics,4.707028,0.470703,USD,Data & Analytics
2026-05-06,Foundry Models,Foundry Models,GPT 5 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,2.457326,1.965861,USD,Clinical Operations
2026-05-06,Foundry Models,Foundry Models,GPT 5 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,4.466665,0.446666,USD,Clinical Operations
2026-05-06,Foundry Models,Foundry Models,GPT 5 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,0.692761,0.069276,USD,Claims Processing
2026-05-06,Foundry Models,Foundry Models,GPT 5 outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,contoso-foundry-dev,rg-ai-dev,1.310689,0.131069,USD,Engineering
2026-05-06,Microsoft Copilot Studio,Microsoft Copilot Studio,Pay As You Go Copilot Credit,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-copilot-studio/providers/microsoft.powerplatform/accounts/contoso-studio,contoso-studio,rg-copilot-studio,8.649772,864.977150,USD,
2026-05-06,Foundry Models,Foundry Models,o4 mini Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,3.653056,3.320960,USD,Clinical Operations
2026-05-06,Foundry Models,Foundry Models,o4 mini Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,0.533038,0.484580,USD,Claims Processing
2026-05-06,Foundry Models,Foundry Models,o4 mini Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,0.941035,0.855486,USD,Member Services
2026-05-06,Foundry Models,Foundry Models,o4 mini Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,contoso-foundry-dev,rg-ai-dev,0.259577,0.235979,USD,Engineering
2026-05-06,Foundry Models,Foundry Models,o4 mini outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.974772,0.221539,USD,Clinical Operations
2026-05-07,Foundry Models,Foundry Models,5.4 cd inp Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,0.190993,1.736296,USD,Finance
2026-05-07,Foundry Models,Foundry Models,5.4 inp Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,1.061149,0.964681,USD,Sales
2026-05-07,Foundry Models,Foundry Models,5.4 opt Gl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,1.895986,0.430906,USD,Engineering
2026-05-07,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,6.028309,3.014154,USD,Clinical Operations
2026-05-07,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-member/providers/microsoft.cognitiveservices/accounts/contoso-foundry-member,contoso-foundry-member,rg-ai-member,2.020752,1.010376,USD,Member Services
2026-05-07,Foundry Models,Foundry Models,GPT 4.1 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-dev/providers/microsoft.cognitiveservices/accounts/contoso-foundry-dev,contoso-foundry-dev,rg-ai-dev,0.479348,0.239674,USD,Engineering
2026-05-07,Foundry Models,Foundry Models,GPT 4o Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,7.017920,2.807168,USD,Clinical Operations
2026-05-07,Foundry Models,Foundry Models,GPT 4o outpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,4.424612,0.442461,USD,Clinical Operations
2026-05-07,Foundry Models,Foundry Models,GPT 5 Inpt Glbl 1M Tokens,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,1.371745,1.097396,USD,Clinical Operations
