"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","total_monthly_quota","organization","repository","cost_center_name","aic_quantity","aic_gross_amount"
"2026-05-03","pmiddleton","copilot","copilot_ai_credit","Claude Opus 5","24.837565","ai-credits","0.01","0.248376","0.248376","0.000000","7000","contoso-digital","","Clinical Systems","0","0"
"2026-05-03","pmiddleton","copilot","copilot_ai_credit","GPT-5.3-Codex","8.021469","ai-credits","0.01","0.080215","0.080215","0.000000","7000","contoso-digital","","Clinical Systems","0","0"
"2026-05-04","athorncroft","copilot","copilot_ai_credit","GPT-5.6 Luna","29.894195","ai-credits","0.01","0.298942","0.298942","0.000000","7000","contoso-digital","","Digital Engineering","0","0"
"2026-05-04","adinsdale","copilot","copilot_ai_credit","Claude Opus 5","225.423616","ai-credits","0.01","2.254236","2.254236","0.000000","3000","contoso-eng","","Clinical Systems","0","0"
"2026-05-04","adinsdale","copilot","copilot_ai_credit","GPT-5.6 Terra","257.010220","ai-credits","0.01","2.570102","2.570102","0.000000","3000","contoso-eng","","Clinical Systems","0","0"
"2026-05-04","aravensworth","copilot","copilot_ai_credit","Claude Opus 5","162.833694","ai-credits","0.01","1.628337","1.628337","0.000000","7000","contoso-eng","","Digital Engineering","0","0"
"2026-05-04","ajephson","copilot","copilot_ai_credit","GPT-5.6 Terra","295.083880","ai-credits","0.01","2.950839","2.950839","0.000000","3000","contoso-eng","","Data Platform","0","0"
"2026-05-04","ajephson","copilot","copilot_ai_credit","GPT-5.6 Terra","284.055831","ai-credits","0.01","2.840558","2.840558","0.000000","3000","contoso-eng","","Data Platform","0","0"
"2026-05-04","ajephson","copilot","copilot_ai_credit","GPT-5.6 Terra","70.223052","ai-credits","0.01","0.702231","0.702231","0.000000","3000","contoso-eng","","Data Platform","0","0"
"2026-05-04","apargeter","copilot","copilot_ai_credit","GPT-5.6 Luna","98.217447","ai-credits","0.01","0.982174","0.982174","0.000000","3000","contoso-data","","Member Digital","0","0"
"2026-05-04","apargeter","copilot","coding_agent_ai_credit","Coding Agent model","12.853319","ai-credits","0.01","0.128533","0.128533","0.000000","3000","contoso-data","","Member Digital","0","0"
"2026-05-04","awadsworth2","copilot","copilot_ai_credit","GPT-5.6 Terra","116.425950","ai-credits","0.01","1.164260","1.164260","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","awadsworth2","copilot","copilot_ai_credit","MAI-Code-1-Flash","140.134662","ai-credits","0.01","1.401347","1.401347","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","bquibell","copilot","copilot_ai_credit","GPT-5.4","145.232027","ai-credits","0.01","1.452320","1.452320","0.000000","3000","contoso-eng","","Claims Platform","0","0"
"2026-05-04","bhetherington","copilot","copilot_ai_credit","Claude Sonnet 5","27.592935","ai-credits","0.01","0.275929","0.275929","0.000000","7000","contoso-eng","","Digital Engineering","0","0"
"2026-05-04","bhetherington","copilot","copilot_ai_credit","GPT-5.6 Sol","21.515797","ai-credits","0.01","0.215158","0.215158","0.000000","7000","contoso-eng","","Digital Engineering","0","0"
"2026-05-04","bwetherby","copilot","copilot_ai_credit","Claude Sonnet 5","238.450614","ai-credits","0.01","2.384506","2.384506","0.000000","7000","contoso-digital","","Member Digital","0","0"
"2026-05-04","cknatchbull","copilot","coding_agent_ai_credit","Coding Agent model","150.192912","ai-credits","0.01","1.501929","1.501929","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","cknatchbull","copilot","copilot_ai_credit","GPT-5.6 Luna","100.463719","ai-credits","0.01","1.004637","1.004637","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","cknatchbull","copilot","copilot_ai_credit","Gemini 3.1 Pro","315.645224","ai-credits","0.01","3.156452","3.156452","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","credmayne","copilot","copilot_ai_credit","GPT-5.3-Codex","42.543482","ai-credits","0.01","0.425435","0.425435","0.000000","7000","contoso-data","","Clinical Systems","0","0"
"2026-05-04","credmayne","copilot","copilot_ai_credit","Claude Sonnet 5","37.326606","ai-credits","0.01","0.373266","0.373266","0.000000","7000","contoso-data","","Clinical Systems","0","0"
"2026-05-04","cfitzgerald","copilot","copilot_ai_credit","GPT-5.6 Luna","19.896898","ai-credits","0.01","0.198969","0.198969","0.000000","3000","contoso-eng","","Claims Platform","0","0"
"2026-05-04","cfitzgerald","copilot","copilot_ai_credit","GPT-5.4","19.510858","ai-credits","0.01","0.195109","0.195109","0.000000","3000","contoso-eng","","Claims Platform","0","0"
"2026-05-04","cmontrose","copilot","copilot_ai_credit","GPT-5.4","139.152377","ai-credits","0.01","1.391524","1.391524","0.000000","7000","contoso-digital","","Claims Platform","0","0"
"2026-05-04","cmontrose","copilot","coding_agent_ai_credit","Coding Agent model","90.165617","ai-credits","0.01","0.901656","0.901656","0.000000","7000","contoso-digital","","Claims Platform","0","0"
"2026-05-04","cmontrose","copilot","copilot_ai_credit","Claude Haiku 4.5","170.835499","ai-credits","0.01","1.708355","1.708355","0.000000","7000","contoso-digital","","Claims Platform","0","0"
"2026-05-04","decclestone","copilot","copilot_ai_credit","GPT-5.6 Luna","187.809695","ai-credits","0.01","1.878097","1.878097","0.000000","7000","contoso-data","","Data Platform","0","0"
"2026-05-04","dpargeter","copilot","copilot_ai_credit","GPT-5.3-Codex","215.950433","ai-credits","0.01","2.159504","2.159504","0.000000","7000","contoso-digital","","Claims Platform","0","0"
"2026-05-04","dhigginbotham","copilot","copilot_ai_credit","Gemini 3.1 Pro","63.326017","ai-credits","0.01","0.633260","0.633260","0.000000","7000","contoso-eng","","Core Infrastructure","0","0"
"2026-05-04","dhigginbotham","copilot","copilot_ai_credit","Claude Sonnet 5","227.708117","ai-credits","0.01","2.277081","2.277081","0.000000","7000","contoso-eng","","Core Infrastructure","0","0"
"2026-05-04","dbeauchamp","copilot","copilot_ai_credit","Claude Opus 5","153.747829","ai-credits","0.01","1.537478","1.537478","0.000000","3000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","dbeauchamp","copilot","copilot_ai_credit","Claude Haiku 4.5","62.354867","ai-credits","0.01","0.623549","0.623549","0.000000","3000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","dbeauchamp","copilot","coding_agent_ai_credit","Coding Agent model","41.978387","ai-credits","0.01","0.419784","0.419784","0.000000","3000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","dblackwood","copilot","copilot_ai_credit","GPT-5.6 Luna","15.627981","ai-credits","0.01","0.156280","0.156280","0.000000","7000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","dnettleship","copilot","copilot_ai_credit","GPT-5.6 Luna","29.454580","ai-credits","0.01","0.294546","0.294546","0.000000","3000","contoso-data","","Core Infrastructure","0","0"
"2026-05-04","etrelawney","copilot","copilot_ai_credit","Claude Sonnet 5","1150.001452","ai-credits","0.01","11.500015","11.500015","0.000000","3000","contoso-digital","","Clinical Systems","0","0"
"2026-05-04","etrelawney","copilot","copilot_ai_credit","GPT-5.6 Luna","393.508458","ai-credits","0.01","3.935085","3.935085","0.000000","3000","contoso-digital","","Clinical Systems","0","0"
"2026-05-04","eattenborough","copilot","copilot_ai_credit","GPT-5.3-Codex","81.521472","ai-credits","0.01","0.815215","0.815215","0.000000","3000","contoso-digital","","Digital Engineering","0","0"
"2026-05-04","eattenborough","copilot","copilot_ai_credit","GPT-5.6 Terra","154.602576","ai-credits","0.01","1.546026","1.546026","0.000000","3000","contoso-digital","","Digital Engineering","0","0"
"2026-05-04","eattenborough","copilot","copilot_ai_credit","GPT-5.3-Codex","156.660903","ai-credits","0.01","1.566609","1.566609","0.000000","3000","contoso-digital","","Digital Engineering","0","0"
"2026-05-04","efairbrother","copilot","copilot_ai_credit","GPT-5.6 Terra","229.321027","ai-credits","0.01","2.293210","2.293210","0.000000","7000","contoso-data","","Data Platform","0","0"
"2026-05-04","efairbrother","copilot","copilot_ai_credit","GPT-5.6 Terra","44.606428","ai-credits","0.01","0.446064","0.446064","0.000000","7000","contoso-data","","Data Platform","0","0"
"2026-05-04","efairbrother","copilot","copilot_ai_credit","GPT-5.3-Codex","196.997228","ai-credits","0.01","1.969972","1.969972","0.000000","7000","contoso-data","","Data Platform","0","0"
"2026-05-04","elymington","copilot","copilot_ai_credit","Gemini 3.1 Pro","37.486679","ai-credits","0.01","0.374867","0.374867","0.000000","3000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","elymington","copilot","copilot_ai_credit","Claude Sonnet 5","228.293539","ai-credits","0.01","2.282935","2.282935","0.000000","3000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","elymington","copilot","copilot_ai_credit","GPT-5.6 Luna","903.147081","ai-credits","0.01","9.031471","9.031471","0.000000","3000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","eyaxley","copilot","copilot_ai_credit","GPT-5.4","288.970688","ai-credits","0.01","2.889707","2.889707","0.000000","3000","contoso-data","","Member Digital","0","0"
"2026-05-04","eyaxley","copilot","copilot_ai_credit","Claude Sonnet 5","189.920868","ai-credits","0.01","1.899209","1.899209","0.000000","3000","contoso-data","","Member Digital","0","0"
"2026-05-04","eyaxley","copilot","copilot_ai_credit","GPT-5.6 Luna","64.386828","ai-credits","0.01","0.643868","0.643868","0.000000","3000","contoso-data","","Member Digital","0","0"
"2026-05-04","ffotheringay","copilot","copilot_ai_credit","Claude Sonnet 5","95.087235","ai-credits","0.01","0.950872","0.950872","0.000000","3000","contoso-data","","Member Digital","0","0"
"2026-05-04","ffotheringay","copilot","copilot_ai_credit","GPT-5.6 Terra","50.538735","ai-credits","0.01","0.505387","0.505387","0.000000","3000","contoso-data","","Member Digital","0","0"
"2026-05-04","ffotheringay","copilot","copilot_ai_credit","Claude Sonnet 5","173.140441","ai-credits","0.01","1.731404","1.731404","0.000000","3000","contoso-data","","Member Digital","0","0"
"2026-05-04","fpetrie","copilot","copilot_ai_credit","Claude Opus 5","245.252942","ai-credits","0.01","2.452529","2.452529","0.000000","7000","contoso-data","","Claims Platform","0","0"
"2026-05-04","fpetrie","copilot","copilot_ai_credit","GPT-5.6 Luna","106.252755","ai-credits","0.01","1.062528","1.062528","0.000000","7000","contoso-data","","Claims Platform","0","0"
"2026-05-04","fnorrington","copilot","copilot_ai_credit","Claude Sonnet 5","161.932047","ai-credits","0.01","1.619320","1.619320","0.000000","3000","contoso-digital","","Claims Platform","0","0"
"2026-05-04","ffairweather","copilot","copilot_ai_credit","Gemini 3.1 Pro","573.866690","ai-credits","0.01","5.738667","5.738667","0.000000","7000","contoso-eng","","Claims Platform","0","0"
"2026-05-04","ffairweather","copilot","copilot_ai_credit","MAI-Code-1-Flash","217.768599","ai-credits","0.01","2.177686","2.177686","0.000000","7000","contoso-eng","","Claims Platform","0","0"
"2026-05-04","ffairweather","copilot","copilot_ai_credit","GPT-5.6 Terra","303.690271","ai-credits","0.01","3.036903","3.036903","0.000000","7000","contoso-eng","","Claims Platform","0","0"
"2026-05-04","gtarrington","copilot","copilot_ai_credit","GPT-5.6 Terra","68.582385","ai-credits","0.01","0.685824","0.685824","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","gtarrington","copilot","copilot_ai_credit","GPT-5.4","160.742736","ai-credits","0.01","1.607427","1.607427","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","gtarrington","copilot","copilot_ai_credit","Claude Haiku 4.5","204.962929","ai-credits","0.01","2.049629","2.049629","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","gballantyne","copilot","copilot_ai_credit","Claude Sonnet 5","70.923349","ai-credits","0.01","0.709233","0.709233","0.000000","7000","contoso-data","","Clinical Systems","0","0"
"2026-05-04","gbrentwood","copilot","copilot_ai_credit","GPT-5.3-Codex","88.003064","ai-credits","0.01","0.880031","0.880031","0.000000","7000","contoso-digital","","Member Digital","0","0"
"2026-05-04","gbrentwood","copilot","copilot_ai_credit","Claude Opus 5","59.311439","ai-credits","0.01","0.593114","0.593114","0.000000","7000","contoso-digital","","Member Digital","0","0"
"2026-05-04","ggarforth","copilot","copilot_ai_credit","GPT-5.6 Terra","99.237736","ai-credits","0.01","0.992377","0.992377","0.000000","3000","contoso-digital","","Clinical Systems","0","0"
"2026-05-04","gdunmore","copilot","copilot_ai_credit","GPT-5.3-Codex","42.008874","ai-credits","0.01","0.420089","0.420089","0.000000","7000","contoso-data","","Claims Platform","0","0"
"2026-05-04","gdunmore","copilot","copilot_ai_credit","GPT-5.6 Terra","158.201865","ai-credits","0.01","1.582019","1.582019","0.000000","7000","contoso-data","","Claims Platform","0","0"
"2026-05-04","gdunmore","copilot","copilot_ai_credit","GPT-5.6 Terra","24.853644","ai-credits","0.01","0.248536","0.248536","0.000000","7000","contoso-data","","Claims Platform","0","0"
"2026-05-04","gredmayne","copilot","copilot_ai_credit","GPT-5.4","24.919124","ai-credits","0.01","0.249191","0.249191","0.000000","3000","contoso-data","","Data Platform","0","0"
"2026-05-04","gredmayne","copilot","copilot_ai_credit","GPT-5.6 Luna","15.996397","ai-credits","0.01","0.159964","0.159964","0.000000","3000","contoso-data","","Data Platform","0","0"
"2026-05-04","hattenborough","copilot","copilot_ai_credit","MAI-Code-1-Flash","118.712764","ai-credits","0.01","1.187128","1.187128","0.000000","7000","contoso-digital","","Clinical Systems","0","0"
"2026-05-04","hattenborough","copilot","copilot_ai_credit","GPT-5.6 Luna","119.949303","ai-credits","0.01","1.199493","1.199493","0.000000","7000","contoso-digital","","Clinical Systems","0","0"
"2026-05-04","hblackwood","copilot","copilot_ai_credit","Claude Sonnet 5","47.374813","ai-credits","0.01","0.473748","0.473748","0.000000","7000","contoso-digital","","Digital Engineering","0","0"
"2026-05-04","hyeovil","copilot","copilot_ai_credit","GPT-5.6 Terra","91.773190","ai-credits","0.01","0.917732","0.917732","0.000000","3000","contoso-data","","Clinical Systems","0","0"
"2026-05-04","hyeovil","copilot","copilot_ai_credit","Claude Sonnet 5","31.055830","ai-credits","0.01","0.310558","0.310558","0.000000","3000","contoso-data","","Clinical Systems","0","0"
"2026-05-04","hfairweather","copilot","copilot_ai_credit","Claude Opus 5","168.659710","ai-credits","0.01","1.686597","1.686597","0.000000","7000","contoso-eng","","Data Platform","0","0"
"2026-05-04","hfairweather","copilot","coding_agent_ai_credit","Coding Agent model","202.366538","ai-credits","0.01","2.023665","2.023665","0.000000","7000","contoso-eng","","Data Platform","0","0"
"2026-05-04","icrowhurst","copilot","copilot_ai_credit","GPT-5.6 Terra","158.144944","ai-credits","0.01","1.581449","1.581449","0.000000","3000","contoso-data","","Clinical Systems","0","0"
"2026-05-04","icrowhurst","copilot","copilot_ai_credit","GPT-5.6 Terra","206.099612","ai-credits","0.01","2.060996","2.060996","0.000000","3000","contoso-data","","Clinical Systems","0","0"
"2026-05-04","ifenwick","copilot","copilot_ai_credit","GPT-5.6 Terra","156.589501","ai-credits","0.01","1.565895","1.565895","0.000000","7000","contoso-eng","","Data Platform","0","0"
"2026-05-04","ifenwick","copilot","copilot_ai_credit","GPT-5.3-Codex","133.249378","ai-credits","0.01","1.332494","1.332494","0.000000","7000","contoso-eng","","Data Platform","0","0"
"2026-05-04","jyeovil","copilot","copilot_ai_credit","Claude Opus 5","176.510394","ai-credits","0.01","1.765104","1.765104","0.000000","7000","contoso-digital","","Claims Platform","0","0"
"2026-05-04","jyeovil","copilot","copilot_ai_credit","GPT-5.6 Terra","89.057567","ai-credits","0.01","0.890576","0.890576","0.000000","7000","contoso-digital","","Claims Platform","0","0"
"2026-05-04","jquibell","copilot","copilot_ai_credit","GPT-5.6 Sol","199.882121","ai-credits","0.01","1.998821","1.998821","0.000000","3000","contoso-digital","","Claims Platform","0","0"
"2026-05-04","jquibell","copilot","copilot_ai_credit","GPT-5.3-Codex","327.346558","ai-credits","0.01","3.273466","3.273466","0.000000","3000","contoso-digital","","Claims Platform","0","0"
"2026-05-04","jholbrook","copilot","copilot_ai_credit","Claude Sonnet 5","36.389994","ai-credits","0.01","0.363900","0.363900","0.000000","3000","contoso-eng","","Clinical Systems","0","0"
"2026-05-04","jivorson","copilot","coding_agent_ai_credit","Coding Agent model","120.189949","ai-credits","0.01","1.201899","1.201899","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","jivorson","copilot","copilot_ai_credit","GPT-5.6 Luna","7.814407","ai-credits","0.01","0.078144","0.078144","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","jthorncroft","copilot","copilot_ai_credit","Claude Sonnet 5","117.704247","ai-credits","0.01","1.177042","1.177042","0.000000","7000","contoso-data","","Member Digital","0","0"
"2026-05-04","jthorncroft","copilot","copilot_ai_credit","GPT-5.6 Terra","161.335707","ai-credits","0.01","1.613357","1.613357","0.000000","7000","contoso-data","","Member Digital","0","0"
"2026-05-04","kknatchbull","copilot","copilot_ai_credit","Claude Opus 5","127.372333","ai-credits","0.01","1.273723","1.273723","0.000000","7000","contoso-digital","","Digital Engineering","0","0"
"2026-05-04","krowbotham","copilot","coding_agent_ai_credit","Coding Agent model","197.987784","ai-credits","0.01","1.979878","1.979878","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","kwhitcombe","copilot","copilot_ai_credit","Gemini 3.1 Pro","15.846782","ai-credits","0.01","0.158468","0.158468","0.000000","7000","contoso-data","","Clinical Systems","0","0"
"2026-05-04","kwhitcombe","copilot","copilot_ai_credit","Claude Sonnet 5","32.187830","ai-credits","0.01","0.321878","0.321878","0.000000","7000","contoso-data","","Clinical Systems","0","0"
"2026-05-04","khigginbotham","copilot","copilot_ai_credit","GPT-5.6 Terra","81.025204","ai-credits","0.01","0.810252","0.810252","0.000000","3000","contoso-data","","Core Infrastructure","0","0"
"2026-05-04","khigginbotham","copilot","copilot_ai_credit","GPT-5.4","188.566879","ai-credits","0.01","1.885669","1.885669","0.000000","3000","contoso-data","","Core Infrastructure","0","0"
"2026-05-04","kknatchbull2","copilot","copilot_ai_credit","Claude Sonnet 5","251.551653","ai-credits","0.01","2.515517","2.515517","0.000000","7000","contoso-eng","","Data Platform","0","0"
"2026-05-04","kshackleton","copilot","copilot_ai_credit","GPT-5.3-Codex","171.622167","ai-credits","0.01","1.716222","1.716222","0.000000","7000","contoso-eng","","Digital Engineering","0","0"
"2026-05-04","kshackleton","copilot","copilot_ai_credit","Claude Sonnet 5","188.224741","ai-credits","0.01","1.882247","1.882247","0.000000","7000","contoso-eng","","Digital Engineering","0","0"
"2026-05-04","kshackleton","copilot","copilot_ai_credit","GPT-5.6 Terra","115.431764","ai-credits","0.01","1.154318","1.154318","0.000000","7000","contoso-eng","","Digital Engineering","0","0"
"2026-05-04","kbexworth","copilot","copilot_ai_credit","GPT-5.6 Terra","65.003249","ai-credits","0.01","0.650032","0.650032","0.000000","3000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","kbexworth","copilot","copilot_ai_credit","GPT-5.3-Codex","10.027846","ai-credits","0.01","0.100278","0.100278","0.000000","3000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","krothwell","copilot","copilot_ai_credit","GPT-5.6 Luna","665.428632","ai-credits","0.01","6.654286","6.654286","0.000000","3000","contoso-data","","Claims Platform","0","0"
"2026-05-04","krothwell","copilot","copilot_ai_credit","GPT-5.6 Terra","641.689262","ai-credits","0.01","6.416893","6.416893","0.000000","3000","contoso-data","","Claims Platform","0","0"
"2026-05-04","krothwell","copilot","copilot_ai_credit","Claude Opus 5","524.616812","ai-credits","0.01","5.246168","5.246168","0.000000","3000","contoso-data","","Claims Platform","0","0"
"2026-05-04","lkembleford","copilot","copilot_ai_credit","GPT-5.6 Terra","55.079046","ai-credits","0.01","0.550790","0.550790","0.000000","7000","contoso-digital","","Core Infrastructure","0","0"
"2026-05-04","lclevedon","copilot","copilot_ai_credit","GPT-5.6 Sol","128.765864","ai-credits","0.01","1.287659","1.287659","0.000000","7000","contoso-eng","","Member Digital","0","0"
"2026-05-04","lrothwell","copilot","coding_agent_ai_credit","Coding Agent model","124.203041","ai-credits","0.01","1.242030","1.242030","0.000000","7000","contoso-data","","Member Digital","0","0"
"2026-05-04","lrothwell","copilot","copilot_ai_credit","MAI-Code-1-Flash","261.987177","ai-credits","0.01","2.619872","2.619872","0.000000","7000","contoso-data","","Member Digital","0","0"
"2026-05-04","mquibell","copilot","copilot_ai_credit","GPT-5.6 Terra","172.786833","ai-credits","0.01","1.727868","1.727868","0.000000","7000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","mquibell","copilot","copilot_ai_credit","GPT-5.3-Codex","156.173369","ai-credits","0.01","1.561734","1.561734","0.000000","7000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","mquibell","copilot","coding_agent_ai_credit","Coding Agent model","276.965695","ai-credits","0.01","2.769657","2.769657","0.000000","7000","contoso-data","","Digital Engineering","0","0"
"2026-05-04","mdinsdale","copilot","copilot_ai_credit","MAI-Code-1-Flash","92.316233","ai-credits","0.01","0.923162","0.923162","0.000000","7000","contoso-data","","Claims Platform","0","0"
"2026-05-04","mdinsdale","copilot","copilot_ai_credit","Claude Sonnet 5","262.876933","ai-credits","0.01","2.628769","2.628769","0.000000","7000","contoso-data","","Claims Platform","0","0"
"2026-05-04","mdinsdale","copilot","copilot_ai_credit","Claude Opus 5","41.648950","ai-credits","0.01","0.416489","0.416490","0.000000","7000","contoso-data","","Claims Platform","0","0"
"2026-05-04","mcholmondeley","copilot","copilot_ai_credit","Gemini 3.1 Pro","169.999280","ai-credits","0.01","1.699993","1.699993","0.000000","7000","contoso-digital","","Member Digital","0","0"
"2026-05-04","mfarquharson","copilot","copilot_ai_credit","Claude Opus 5","30.780150","ai-credits","0.01","0.307801","0.307802","0.000000","7000","contoso-digital","","Clinical Systems","0","0"
"2026-05-04","mfarquharson","copilot","copilot_ai_credit","GPT-5.6 Luna","86.718391","ai-credits","0.01","0.867184","0.867184","0.000000","7000","contoso-digital","","Clinical Systems","0","0"
"2026-05-04","mrushworth","copilot","copilot_ai_credit","GPT-5.6 Luna","18.910063","ai-credits","0.01","0.189101","0.189101","0.000000","3000","contoso-digital","","Digital Engineering","0","0"
"2026-05-04","mrushworth","copilot","coding_agent_ai_credit","Coding Agent model","18.911405","ai-credits","0.01","0.189114","0.189114","0.000000","3000","contoso-digital","","Digital Engineering","0","0"
"2026-05-04","mverinder","copilot","copilot_ai_credit","GPT-5.6 Luna","66.259000","ai-credits","0.01","0.662590","0.662590","0.000000","7000","contoso-digital","","Claims Platform","0","0"
"2026-05-04","nnorthcote","copilot","coding_agent_ai_credit","Coding Agent model","6.816396","ai-credits","0.01","0.068164","0.068164","0.000000","3000","contoso-data","","Data Platform","0","0"
"2026-05-04","npennington","copilot","copilot_ai_credit","GPT-5.6 Terra","78.229635","ai-credits","0.01","0.782296","0.782296","0.000000","3000","contoso-eng","","Clinical Systems","0","0"
"2026-05-04","npennington","copilot","copilot_ai_credit","GPT-5.6 Terra","41.751621","ai-credits","0.01","0.417516","0.417516","0.000000","3000","contoso-eng","","Clinical Systems","0","0"
"2026-05-04","npennington","copilot","copilot_ai_credit","GPT-5.6 Luna","11.508169","ai-credits","0.01","0.115082","0.115082","0.000000","3000","contoso-eng","","Clinical Systems","0","0"
